image_name,predicted_label
1.jpg,dog
10.jpg,dog
100.jpg,cat
1000.jpg,dog
10000.jpg,dog
10001.jpg,cat
10002.jpg,cat
10003.jpg,dog
10004.jpg,cat
10005.jpg,cat
10006.jpg,cat
10007.jpg,cat
10008.jpg,cat
10009.jpg,cat
1001.jpg,cat
10010.jpg,dog
10011.jpg,dog
10012.jpg,cat
10013.jpg,dog
10014.jpg,cat
10015.jpg,dog
10016.jpg,dog
10017.jpg,cat
10018.jpg,cat
10019.jpg,cat
1002.jpg,dog
10020.jpg,cat
10021.jpg,cat
10022.jpg,dog
10023.jpg,dog
10024.jpg,dog
10025.jpg,dog
10026.jpg,dog
10027.jpg,dog
10028.jpg,cat
10029.jpg,dog
1003.jpg,dog
10030.jpg,dog
10031.jpg,dog
10032.jpg,cat
10033.jpg,cat
10034.jpg,dog
10035.jpg,cat
10036.jpg,dog
10037.jpg,cat
10038.jpg,dog
10039.jpg,dog
1004.jpg,dog
10040.jpg,cat
10041.jpg,dog
10042.jpg,dog
10043.jpg,dog
10044.jpg,cat
10045.jpg,dog
10046.jpg,cat
10047.jpg,dog
10048.jpg,dog
10049.jpg,cat
1005.jpg,cat
10050.jpg,cat
10051.jpg,dog
10052.jpg,cat
10053.jpg,cat
10054.jpg,cat
10055.jpg,dog
10056.jpg,cat
10057.jpg,cat
10058.jpg,dog
10059.jpg,dog
1006.jpg,dog
10060.jpg,dog
10061.jpg,dog
10062.jpg,dog
10063.jpg,dog
10064.jpg,cat
10065.jpg,dog
10066.jpg,cat
10067.jpg,dog
10068.jpg,dog
10069.jpg,cat
1007.jpg,dog
10070.jpg,cat
10071.jpg,cat
10072.jpg,cat
10073.jpg,dog
10074.jpg,cat
10075.jpg,cat
10076.jpg,dog
10077.jpg,dog
10078.jpg,cat
10079.jpg,cat
1008.jpg,cat
10080.jpg,dog
10081.jpg,dog
10082.jpg,cat
10083.jpg,cat
10084.jpg,dog
10085.jpg,dog
10086.jpg,dog
10087.jpg,cat
10088.jpg,cat
10089.jpg,cat
1009.jpg,dog
10090.jpg,cat
10091.jpg,cat
10092.jpg,dog
10093.jpg,cat
10094.jpg,dog
10095.jpg,cat
10096.jpg,dog
10097.jpg,dog
10098.jpg,dog
10099.jpg,dog
101.jpg,cat
1010.jpg,dog
10100.jpg,dog
10101.jpg,dog
10102.jpg,cat
10103.jpg,cat
10104.jpg,dog
10105.jpg,dog
10106.jpg,dog
10107.jpg,cat
10108.jpg,dog
10109.jpg,cat
1011.jpg,cat
10110.jpg,dog
10111.jpg,dog
10112.jpg,cat
10113.jpg,dog
10114.jpg,dog
10115.jpg,dog
10116.jpg,dog
